,RESPONSEID,MAINBRANCH,EMPLOYMENT,COUNTRY,USSTATE,UKCOUNTRY,EDLEVEL,AGE1STCODE,LEARNCODE,YEARSCODE,YEARSCODEPRO,DEVTYPE,ORGSIZE,CURRENCY,COMPTOTAL,COMPFREQ,LANGUAGEHAVEWORKEDWITH,LANGUAGEWANTTOWORKWITH,DATABASEHAVEWORKEDWITH,DATABASEWANTTOWORKWITH,PLATFORMHAVEWORKEDWITH,PLATFORMWANTTOWORKWITH,WEBFRAMEHAVEWORKEDWITH,WEBFRAMEWANTTOWORKWITH,MISCTECHHAVEWORKEDWITH,MISCTECHWANTTOWORKWITH,TOOLSTECHHAVEWORKEDWITH,TOOLSTECHWANTTOWORKWITH,NEWCOLLABTOOLSHAVEWORKEDWITH,NEWCOLLABTOOLSWANTTOWORKWITH,OPSYS,NEWSTUCK,NEWSOSITES,SOVISITFREQ,SOACCOUNT,SOPARTFREQ,SOCOMM,NEWOTHERCOMMS,AGE,GENDER,TRANS,SEXUALITY,ETHNICITY,ACCESSIBILITY,MENTALHEALTH,SURVEYLENGTH,SURVEYEASE,CONVERTEDCOMPYEARLY,AYUDA
389,390,I am a developer by profession,"Independent contractor, freelancer, or self-employed",ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague",12,10,"Developer, full-stack;Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",EUR European Euro,5000.0,Monthly,Bash/Shell;JavaScript;Python;SQL,C++,MongoDB;MySQL;PostgreSQL;SQLite,,AWS;Google Cloud Platform;Heroku,,Django;jQuery,,NumPy,Flutter;TensorFlow,Docker;Git,,PyCharm;Sublime Text;Vim;Visual Studio Code,,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Panic,Stack Overflow;Stack Exchange,Multiple times per day,True,Less than once per month or monthly,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,64860.0,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Panic Stack Overflow;Stack Exchange
443,444,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague",11,6,"Developer, back-end",100 to 499 employees,EUR European Euro,,,Python;Rust,Python;Rust,SQLite,,DigitalOcean,DigitalOcean,,,,,Git,Git,IntelliJ;PyCharm,IntelliJ;PyCharm,Windows,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,True,Daily or almost daily,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later Stack Overflow;Stack Exchange
492,493,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",10,4,"Developer, back-end",500 to 999 employees,EUR European Euro,32000.0,Yearly,Java;Python,Java;Python,Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Redis,Elasticsearch;Oracle;PostgreSQL;Redis,AWS;DigitalOcean,AWS;DigitalOcean,Django;Spring,Django;FastAPI;Flask;Spring,,,Ansible;Docker;Git,Git,IntelliJ;PyCharm;Visual Studio Code,IntelliJ;PyCharm;Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,True,A few times per week,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,34591.0,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later Stack Overflow;Stack Exchange
503,504,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,ESPAÑA,,,"Other doctoral degree (Ph.D., Ed.D., etc.)",11 - 17 years,Friend or family member;Other (please specify):,25,20,Data scientist or machine learning specialist,"1,000 to 4,999 employees",EUR European Euro,60000.0,Yearly,Python,Julia;Kotlin;Python;R,MariaDB;PostgreSQL,MariaDB;PostgreSQL;Redis,AWS,AWS,,,NumPy;Pandas,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git,PyCharm;Vim,PyCharm;Vim,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,True,Less than once per month or monthly,Neutral,No,35-44 years old,Man,No,,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,64859.0,Visit Stack Overflow;Google it Stack Overflow;Stack Exchange
519,520,I am a developer by profession,Employed full-time,ESPAÑA,,,,,,,,,,EUR European Euro,,,Java;Scala;SQL;VBA,SQL;VBA,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,MariaDB;Microsoft SQL Server;MongoDB;MySQL,Microsoft Azure,Microsoft Azure,ASP.NET,Spring,.NET Framework;.NET Core / .NET 5;Apache Spark;Hadoop,Apache Spark,Docker;Git,Docker;Git,Eclipse;IntelliJ;Notepad++;Visual Studio;Xcode,Eclipse;IntelliJ;Notepad++;Visual Studio;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Meditate,Stack Overflow,A few times per month or weekly,True,,,,35-44 years old,,,,,,,,,,Call a coworker or friend;Visit Stack Overflow;Google it;Meditate Stack Overflow
538,539,I am a developer by profession,Employed full-time,ESPAÑA,,,Some college/university study without earning a degree,11 - 17 years,School;Friend or family member,6,2,"Developer, desktop or enterprise applications;Developer, back-end;Student",10 to 19 employees,EUR European Euro,19000.0,Yearly,Assembly;HTML/CSS;Node.js;Python;SQL,C#;Python,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,,AWS,,Angular;Angular.js;Django;Flask;jQuery,,Torch/PyTorch,,Ansible;Docker;Git,Docker;Git,Atom;Notepad++;Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,A few times per week,False,,"No, not really",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,20539.0,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later Stack Overflow
616,617,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35 - 44 years,School;Online Courses or Certification,13,9,"Developer, full-stack;Developer, back-end;Academic researcher;DevOps specialist;System administrator",100 to 499 employees,EUR European Euro,,,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Python,Bash/Shell;C++;Go;Python;Rust,MySQL;PostgreSQL,MongoDB;PostgreSQL,,,Spring,Flask,,,Ansible;Docker;Git;Kubernetes;Terraform,Ansible;Docker;Git;Kubernetes;Terraform,IntelliJ;PyCharm;Vim;Visual Studio Code,IntelliJ;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,Daily or almost daily,True,A few times per week,"Yes, somewhat",No,35-44 years old,"Or, in your own words:",No,Prefer to self-describe:,"Or, in your own words:","Or, in your own words:","Or, in your own words:",Appropriate in length,Neither easy nor difficult,,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later;Meditate Stack Overflow;Stack Exchange
677,678,I am a developer by profession,Employed full-time,ESPAÑA,,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",12,8,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test","5,000 to 9,999 employees",EUR European Euro,15000.0,Yearly,Java;JavaScript;PHP;SQL;TypeScript,Bash/Shell;Java;JavaScript;PHP;SQL;TypeScript,MySQL,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL,,,Angular;Spring;Symfony,Angular;React.js;Spring;Symfony;Vue.js,,,Ansible;Docker;Git;Yarn,Docker;Git,Eclipse;PHPStorm,IntelliJ;PHPStorm,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Multiple times per day,True,Less than once per month or monthly,Neutral,Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent;Hispanic or Latino/a/x,None of the above,None of the above,Too long,Easy,16215.0,Visit Stack Overflow;Google it;Watch help / tutorial videos Stack Overflow
681,682,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,Other (please specify):,35,30,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Developer, game or graphics;DevOps specialist","1,000 to 4,999 employees",EUR European Euro,3500.0,Monthly,Bash/Shell;C;C#;C++;F#;Haskell;HTML/CSS;Java;JavaScript;Node.js;Perl;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell;C;Haskell;HTML/CSS;Java;SQL,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Microsoft SQL Server;PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure,,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Drupal;Express;jQuery;React.js;Spring;Symfony;Vue.js,jQuery;Spring,.NET Framework;.NET Core / .NET 5;Flutter;Hadoop;Keras;NumPy;TensorFlow;Torch/PyTorch,.NET Core / .NET 5;TensorFlow,Ansible;Docker;Git;Kubernetes;Unity 3D,Docker;Git;Kubernetes,Android Studio;Eclipse;Emacs;IntelliJ;IPython/Jupyter;NetBeans;PHPStorm;Vim,IntelliJ;Vim,Linux-based,Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,A few times per month or weekly,True,A few times per month or weekly,"Yes, somewhat",Yes,45-54 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,None of the above,None of the above,Appropriate in length,Easy,45396.0,Go for a walk or other physical activity;Google it;Do other work and come back later;Play games Stack Overflow;Stack Exchange
815,816,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,10,,"Developer, front-end",2 to 9 employees,EUR European Euro,4000.0,Monthly,HTML/CSS;JavaScript;TypeScript,,,,,,Gatsby;jQuery;React.js,Angular;Angular.js;Vue.js,,,Git;Yarn,Docker,Vim,,MacOS,Visit Stack Overflow;Google it;Other (please specify):,Stack Overflow,Multiple times per day,True,Daily or almost daily,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,51888.0,Visit Stack Overflow;Google it;Other (please specify): Stack Overflow
834,835,I am a developer by profession,Employed part-time,ESPAÑA,,,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",3,1,"Other (please specify):;Developer, back-end;Developer, embedded applications or devices",20 to 99 employees,EUR European Euro,9000.0,Yearly,Bash/Shell;C;C#;C++;Java;JavaScript;Node.js;Rust;SQL,Assembly;Bash/Shell;C;C#;C++;Java;Python;Rust;SQL,MySQL,MySQL,DigitalOcean,DigitalOcean,,,.NET Core / .NET 5,.NET Core / .NET 5,Git,Docker;Git;Unity 3D,IntelliJ;Notepad++;Visual Studio,IntelliJ;Notepad++;Visual Studio,Windows,Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,True,A few times per month or weekly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,9729.0,Do other work and come back later;Play games Stack Overflow;Stack Exchange
895,896,I am a developer by profession,Employed full-time,ESPAÑA,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,School,4,Less than 1 year,"Developer, full-stack;Developer, back-end",I don’t know,EUR European Euro,,Monthly,Java,Java;Kotlin,Cassandra;PostgreSQL,Cassandra;PostgreSQL,,,Angular;Angular.js;Spring,Angular.js;Spring,Apache Spark,,Docker;Git,Docker;Git,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Visual Studio,Android Studio;Atom;Eclipse;IntelliJ;Notepad++;Visual Studio,Linux-based,Google it,Stack Overflow;Stack Exchange,Daily or almost daily,True,I have never participated in Q&A on Stack Overflow,"No, not really",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,,None of the above,Appropriate in length,Easy,,Google it Stack Overflow;Stack Exchange
969,970,I am a developer by profession,Employed full-time,ESPAÑA,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School;Colleague,30,23,"Developer, mobile;Developer, full-stack;Developer, back-end",20 to 99 employees,EUR European Euro,,,HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,HTML/CSS;Java;JavaScript;Julia;Kotlin;Node.js;Python;R;SQL;Swift;TypeScript,MongoDB;MySQL;Redis,Cassandra;Firebase;MongoDB;MySQL;Redis,Google Cloud Platform;Microsoft Azure,AWS;Google Cloud Platform;Microsoft Azure,Angular;Angular.js;Express,Angular;Angular.js;Express;React.js;Vue.js,Cordova,Cordova;Flutter;Hadoop;React Native;TensorFlow,Git,Docker;Git;Kubernetes,Android Studio;IntelliJ;Visual Studio Code;Xcode,Android Studio;IntelliJ;Visual Studio Code;Xcode,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,True,A few times per week,"Yes, definitely",No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later Stack Overflow;Stack Exchange
1034,1035,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,ESPAÑA,,,Some college/university study without earning a degree,18 - 24 years,Other (please specify):,25,20,DevOps specialist,20 to 99 employees,EUR European Euro,54000.0,Yearly,Bash/Shell;Go;Python;Ruby,Bash/Shell;Go;Python;Ruby,DynamoDB;Elasticsearch;MySQL;Redis;SQLite,DynamoDB;Elasticsearch;MySQL;Redis,AWS;Google Cloud Platform;Heroku,AWS;Google Cloud Platform,Ruby on Rails,Ruby on Rails,,,Chef;Docker;Git;Terraform,Ansible;Docker;Git;Kubernetes;Terraform,Emacs;IPython/Jupyter;Vim;Visual Studio Code,Emacs;IPython/Jupyter;Vim;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow,A few times per week,True,Less than once per month or monthly,"No, not really",No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,58373.0,Call a coworker or friend;Visit Stack Overflow;Google it;Do other work and come back later Stack Overflow
